DRAUGHT(m),DISP(t),DISPM(t),VOLT(m3),LCA(m),LCB(m),MCT(tm/cm),TPC(tm/cm),CB
2.000,20708.7,20478.0,20203.7,147.07,115.122,1583.8,110.1,0.6934
2.100,21818.8,21583.4,21286.6,148.77,116.789,1667.4,112.0,0.6960
2.200,22946.6,22707.4,22386.9,150.14,118.396,1738.6,113.5,0.6990
2.300,24087.8,23845.8,23500.3,151.17,119.926,1794.9,114.7,0.7021
2.400,25239.0,24994.2,24623.4,151.76,121.364,1830.5,115.5,0.7053
2.500,26396.9,26150.0,25753.1,152.19,122.708,1858.5,116.1,0.7084
2.600,27561.2,27312.3,26889.0,152.56,123.962,1883.1,116.7,0.7114
2.700,28730.7,28479.9,28030.0,152.88,125.133,1906.0,117.2,0.7143
2.800,29905.1,29652.5,29175.7,153.17,126.229,1927.3,117.7,0.7172
2.900,31082.3,30828.0,30324.2,153.43,127.263,1946.6,118.2,0.7199
3.000,32265.8,32009.8,31478.8,153.65,128.227,1965.4,118.6,0.7226
3.100,33453.4,33195.7,32637.4,153.85,129.132,1983.3,119.0,0.7252
3.200,34645.1,34385.8,33800.1,154.03,129.986,2000.4,119.4,0.7277
3.300,35840.7,35579.7,34966.5,154.19,130.791,2016.7,119.8,0.7302
3.400,37039.9,36777.4,36136.5,154.34,131.552,2032.6,120.1,0.7325
3.500,38243.3,37979.5,37310.6,154.47,132.269,2047.8,120.5,0.7349
3.600,39450.9,39185.5,38488.6,154.59,132.946,2062.6,120.8,0.7371
3.700,40661.0,40393.8,39669.3,154.69,133.590,2076.8,121.1,0.7393
3.800,41873.4,41604.7,40852.1,154.79,134.203,2091.0,121.4,0.7415
3.900,43088.7,42818.6,42037.8,154.88,134.785,2104.7,121.7,0.7435
4.000,44307.0,44035.4,43226.3,154.96,135.339,2118.0,122.0,0.7455
4.100,45528.1,45255.0,44417.6,155.02,135.866,2130.9,122.3,0.7475
4.200,46752.0,46477.5,45611.7,155.08,136.369,2143.5,122.5,0.7494
4.300,47978.6,47702.6,46808.4,155.13,136.849,2155.7,122.8,0.7513
4.400,49207.8,48930.4,48007.6,155.17,137.306,2167.8,123.1,0.7531
4.500,50439.6,50160.8,49209.3,155.21,137.744,2179.6,123.3,0.7549
4.600,51673.8,51393.7,50413.5,155.24,138.162,2191.7,123.6,0.7566
4.700,52910.4,52628.9,51619.9,155.27,138.561,2203.6,123.8,0.7583
4.800,54149.4,53866.5,52828.7,155.29,138.944,2215.2,124.1,0.7600
4.900,55390.8,55106.5,54039.8,155.30,139.310,2226.6,124.3,0.7616
5.000,56634.5,56348.8,55253.1,155.31,139.661,2237.9,124.5,0.7632
5.100,57880.5,57593.4,56468.7,155.31,139.998,2249.1,124.7,0.7648
5.200,59128.9,58840.4,57686.7,155.30,140.321,2260.0,125.0,0.7663
5.300,60381.0,60091.2,58908.3,155.29,140.628,2271.0,125.2,0.7678
5.400,61633.9,61342.7,60130.6,155.27,140.927,2281.7,125.4,0.7693
5.500,62888.9,62596.4,61355.0,155.26,141.213,2292.3,125.6,0.7708
5.600,64146.1,63852.3,62581.6,155.23,141.488,2302.8,125.8,0.7722
5.700,65403.9,65108.7,63808.7,155.21,141.756,2313.1,126.0,0.7736
5.800,66665.2,66368.7,65039.2,155.18,142.010,2323.6,126.2,0.7749
5.900,67928.6,67630.7,66271.8,155.15,142.254,2334.1,126.5,0.7763
6.000,69194.0,68894.7,67506.3,155.11,142.490,2344.4,126.7,0.7776
6.100,70461.4,70160.9,68742.9,155.06,142.716,2354.7,126.9,0.7789
6.200,71730.9,71429.0,69981.4,155.01,142.935,2365.0,127.1,0.7802
6.300,73002.4,72699.1,71221.8,154.96,143.145,2375.3,127.3,0.7815
6.400,74275.9,73971.2,72464.3,154.91,143.347,2385.7,127.5,0.7827
6.500,75551.3,75245.3,73708.6,154.85,143.541,2396.2,127.7,0.7840
6.600,76828.7,76521.4,74954.8,154.78,143.728,2406.5,127.9,0.7852
6.700,78108.0,77799.4,76203.0,154.72,143.909,2416.9,128.0,0.7864
6.800,79389.3,79079.3,77453.0,154.65,144.082,2427.3,128.2,0.7876
6.900,80672.7,80361.2,78705.0,154.57,144.250,2437.5,128.4,0.7887
7.000,81957.9,81645.2,79958.9,154.49,144.411,2447.8,128.6,0.7899
7.100,83245.1,82931.0,81214.8,154.41,144.566,2458.1,128.8,0.7910
7.200,84534.3,84218.8,82472.4,154.33,144.715,2468.3,129.0,0.7922
7.300,85825.3,85508.5,83732.0,154.24,144.859,2478.7,129.2,0.7933
7.400,87118.3,86800.1,84993.4,154.15,144.997,2489.1,129.4,0.7944